Ref,Val,Package,PosX,PosY,Rot,Side
"AE2","Antenna_Shield","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",173.250000,-51.912500,90.000000,top
"C1","22 uF","C_0402_1005Metric",158.200000,-111.000000,-135.000000,top
"C2","0.1 uF","C_0402_1005Metric",157.200000,-109.900000,-135.000000,top
"C3","0.1 uF","C_0402_1005Metric",159.625000,-109.175000,45.000000,top
"C4","1 uF","C_0402_1005Metric",160.485589,-110.014411,45.000000,top
"C18","10uF","C_0603_1608Metric",133.650000,-112.075000,-90.000000,top
"C19","22uF","C_0603_1608Metric",136.925000,-108.200000,180.000000,top
"C20","100nF","C_0402_1005Metric",145.700000,-124.025000,90.000000,top
"C21","100nF","C_0402_1005Metric",143.700000,-124.275000,180.000000,top
"C22","100nF","C_0402_1005Metric",145.500000,-119.475000,0.000000,top
"C23","100nF","C_0402_1005Metric",163.240000,-125.842164,-90.000000,top
"D2","D","CR_SMBDO-214AA_VIS",127.550000,-107.244400,90.000000,top
"D3","D","CR_SMBDO-214AA_VIS",132.700000,-106.800000,90.000000,top
"J1","B2B-PH-K-S","CONN2_B2B-PH-K-S_JST",129.200001,-92.500000,0.000000,top
"J3","Screw_Terminal_01x06","CONN_OSTVN06A150_OST",131.700000,-65.400000,-90.000000,top
"J4","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical",129.530000,-116.060000,0.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",131.725000,-87.425000,180.000000,top
"J6","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",141.250000,-105.250000,180.000000,top
"J7","USB4105-GF-A","GCT_USB4105-GF-A",180.250000,-93.820000,90.000000,top
"L4","2.2uH","IND_TAIYO_NR3015_TAY",141.100000,-109.198550,90.000000,top
"Q2","IRLML0030","SOT-23",145.237500,-67.900000,180.000000,top
"Q3","IRLML0030","SOT-23",145.037500,-73.000000,180.000000,top
"Q4","IRLML0030","SOT-23",145.037500,-78.100000,180.000000,top
"R3","22","R_0402_1005Metric",168.339376,-97.739376,135.000000,top
"R4","10k","R_0402_1005Metric",158.800000,-108.350000,45.000000,top
"R5","5.1k","R_0402_1005Metric",173.500000,-95.500000,0.000000,top
"R6","5.1k","R_0402_1005Metric",173.196359,-91.870000,180.000000,top
"R7","100k","R_0402_1005Metric",169.825000,-94.150000,45.000000,top
"R8","22","R_0402_1005Metric",167.600000,-98.450000,135.000000,top
"R12","470","R_0402_1005Metric",148.900000,-69.100000,180.000000,top
"R13","10k","R_0402_1005Metric",148.900000,-68.000000,0.000000,top
"R14","33k","R_0402_1005Metric",140.339376,-94.739376,-45.000000,top
"R15","10k","R_0402_1005Metric",141.400000,-93.800000,135.000000,top
"R16","470","R_0402_1005Metric",148.800000,-74.100000,180.000000,top
"R17","10k","R_0402_1005Metric",148.800000,-73.000000,0.000000,top
"R18","33k","R_0402_1005Metric",142.900000,-91.800000,-45.000000,top
"R19","10k","R_0402_1005Metric",142.000000,-92.700000,135.000000,top
"R20","470","R_0402_1005Metric",148.800000,-79.000000,180.000000,top
"R21","10k","R_0402_1005Metric",148.800000,-77.800000,0.000000,top
"R22","33k","R_0402_1005Metric",164.200000,-103.100000,135.000000,top
"R23","10k","R_0402_1005Metric",163.300000,-104.000000,-45.000000,top
"SW1","SW_Push","SW_SPST_PTS810",150.825000,-111.125000,180.000000,top
"SW2","SW_Push","SW_SPST_PTS810",148.275000,-84.750000,-135.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1U",155.044237,-95.548329,135.000000,top
"U2","TPS62162DSG","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",136.850000,-110.548550,0.000000,top
"U3","RFM95W-868S2","HOPERF_RFM9XW_SMD",166.450000,-63.975000,90.000000,top
"U4","MS560702BA03-50","SON8_MS5611_TEC",148.700000,-122.775000,0.000000,top
"U5","LSM6DSO32TR","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",142.950000,-122.025000,0.000000,top
"U6","SAM-M8Q","ublox_SAM-M8Q",172.800000,-128.925000,90.000000,top
