"Reference","Value","DNP","Exclude from BOM","Exclude from Board","LCSC"
"AE2","Antenna_Shield","","","",""
"D2,D3","D","","","",""
"J1","B2B-PH-K-S","","","",""
"J3","Screw_Terminal_01x06","","","",""
"J4","Conn_ARM_JTAG_SWD_10","","","",""
"J5","Conn_01x03","","","",""
"J6","Conn_01x02","","","",""
"L4","2.2uH","","","",""
"SW1,SW2","SW_Push","","","",""
"U1","ESP32-S3-WROOM-1","","","",""
"U3","RFM95W-868S2","","","",""
"U5","LSM6DSO32TR","","","",""
"U6","SAM-M8Q","","","",""
"C1","22 uF","","","","C1523"
"C20,C21,C22,C23","100nF","","","","C1525"
"C18","10uF","","","","C15525"
"Q2,Q3,Q4","IRLML0030","","","","C20917"
"R3,R8","22","","","","C25092"
"R12,R16,R20","470","","","","C25117"
"R7","100k","","","","C25741"
"R4,R13,R15,R17,R19,R21,R23","10k","","","","C25744"
"R14,R18,R22","33k","","","","C25779"
"R5,R6","5.1k","","","","C25905"
"U2","TPS62162DSG","","","","C40256"
"C4","1 uF","","","","C52923"
"C2,C3","0.1 uF","","","","C53273"
"C19","22uF","","","","C59461"
"U4","MS560702BA03-50","","","","C97627"
"J7","USB4105-GF-A","","","","C2988369"
